Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,36,Finance,1,6.0,74,122378
0,46,Other,4,9.333333333333334,33,433172
0,40,Media,2,7.333333333333334,32,391846
1,31,Other,4,4.333333333333334,33,126448
0,36,Media,2,6.0,35,212345
0,39,Tech,7,7.0,120,361763
0,39,Finance,1,7.0,125,173876
1,30,Tech,7,4.0,27,141696
0,35,Other,4,5.666666666666666,123,232765
1,29,Media,2,3.666666666666666,47,114272
0,30,Media,2,4.0,40,153353
1,30,Other,4,4.0,48,85895
1,29,Tech,7,3.666666666666666,84,146418
0,28,Media,2,3.333333333333334,84,188155
1,28,Tech,7,3.333333333333334,42,134657
1,32,Other,4,4.666666666666666,17,166565
1,32,Tech,7,4.666666666666666,14,162451
0,29,Tech,7,3.666666666666666,41,154296
1,30,Other,4,4.0,32,205381
0,36,Engineering,0,6.0,26,353531
1,33,Media,2,5.0,66,187671
1,35,Other,4,5.666666666666666,80,111259
0,35,Other,4,5.666666666666666,59,252589
1,32,Operations,3,4.666666666666666,46,158068
0,36,Sales,6,6.0,62,150682
0,37,Other,4,6.333333333333334,9,114591
1,28,Tech,7,3.333333333333334,84,204752
1,32,Other,4,4.666666666666666,12,195114
1,29,Product,5,3.666666666666666,40,148654
0,33,Media,2,5.0,90,291982
0,42,Other,4,8.0,137,149470
0,31,Tech,7,4.333333333333334,68,167193
1,31,Tech,7,4.333333333333334,70,183775
0,37,Tech,7,6.333333333333334,120,337517
0,30,Tech,7,4.0,17,155524
0,30,Other,4,4.0,35,108519
0,32,Other,4,4.666666666666666,34,142747
0,33,Media,2,5.0,101,252353
0,30,Other,4,4.0,49,147990
0,33,Media,2,5.0,34,212200
0,34,Finance,1,5.333333333333334,98,114995
0,39,Other,4,7.0,47,196790
0,43,Other,4,8.333333333333334,108,176483
0,30,Other,4,4.0,106,152445
0,41,Other,4,7.666666666666666,63,477168
0,28,Engineering,0,3.333333333333334,21,115436
0,34,Other,4,5.333333333333334,47,199323
0,32,Finance,1,4.666666666666666,76,113498
0,30,Tech,7,4.0,51,235319
0,31,Other,4,4.333333333333334,53,231067
0,34,Media,2,5.333333333333334,38,308449
0,37,Finance,1,6.333333333333334,84,112805
0,30,Other,4,4.0,70,154351
0,36,Media,2,6.0,66,334520
0,31,Other,4,4.333333333333334,31,121840
0,35,Finance,1,5.666666666666666,96,160832
0,39,Media,2,7.0,53,271006
0,38,Tech,7,6.666666666666666,107,235975
1,41,Other,4,7.666666666666666,148,254925
0,35,Tech,7,5.666666666666666,152,114404
0,35,Tech,7,5.666666666666666,103,264486
0,46,Other,4,9.333333333333334,173,942563
0,32,Tech,7,4.666666666666666,38,257788
1,27,Finance,1,3.0,59,86779
0,36,Finance,1,6.0,66,100945
0,34,Other,4,5.333333333333334,59,203980
0,34,Tech,7,5.333333333333334,70,232397
0,30,Media,2,4.0,21,175572
0,29,Other,4,3.666666666666666,10,191400
0,36,Sales,6,6.0,23,439212
0,32,Engineering,0,4.666666666666666,33,241541
0,39,Other,4,7.0,87,126802
0,37,Tech,7,6.333333333333334,85,211808
0,29,Media,2,3.666666666666666,55,132036
0,30,Tech,7,4.0,10,191460
